ID,trait1
Sample1,228.2
Sample2,210.8628519061584
Sample3,219.26
Sample4,171.25
Sample5,236.0
Sample6,195.53
Sample7,244.73
Sample8,220.5
Sample9,210.24
Sample10,182.13
Sample11,250.22
Sample12,218.3
Sample13,198.67
Sample14,200.56
Sample15,240.33
Sample16,213.43
Sample17,202.93
Sample18,222.48
Sample19,207.17
Sample20,223.67
Sample21,204.24
Sample22,219.02
Sample23,190.21
Sample24,215.59
Sample25,225.54
Sample26,207.91
Sample27,232.33
Sample28,219.5
Sample29,217.32
Sample30,215.9
Sample31,207.83
Sample32,232.43
Sample33,214.39
Sample34,210.8628519061584
Sample35,221.29
Sample36,215.54
Sample37,204.39
Sample38,210.8628519061584
Sample39,223.96
Sample40,199.36
Sample41,210.78
Sample42,208.34
Sample43,238.25
Sample44,223.16
Sample45,183.58
Sample46,209.8
Sample47,213.11
Sample48,196.19
Sample49,214.33
Sample50,210.8628519061584
Sample51,220.92
Sample52,206.58
Sample53,211.6
Sample54,219.57
Sample55,223.69
Sample56,227.85
Sample57,218.04
Sample58,183.54
Sample59,230.46
Sample60,202.51
Sample61,233.21
Sample62,231.88
Sample63,212.13
Sample64,212.1
Sample65,197.16
Sample66,192.59
Sample67,206.63
Sample68,219.34
Sample69,256.99
Sample70,218.12
Sample71,213.33
Sample72,200.77
Sample73,227.79
Sample74,202.43
Sample75,183.47
Sample76,189.59
Sample77,211.61
Sample78,199.6
Sample79,181.69
Sample80,225.43
Sample81,165.2
Sample82,202.28
Sample83,219.85
Sample84,207.84
Sample85,227.86
Sample86,210.8628519061584
Sample87,208.81
Sample88,244.8
Sample89,223.46
Sample90,197.3
Sample91,205.56
Sample92,213.57
Sample93,180.86
Sample94,242.66
Sample95,231.5
Sample96,161.1
Sample97,206.21
Sample98,206.19
Sample99,213.7
Sample100,226.33
Sample101,211.59
Sample102,187.92
Sample103,220.34
Sample104,216.0
Sample105,243.16
Sample106,215.27
Sample107,218.89
Sample108,215.8
Sample109,237.8
Sample110,230.28
Sample111,232.82
Sample112,204.78
Sample113,251.16
Sample114,219.25
Sample115,187.91
Sample116,240.76
Sample117,223.58
Sample118,224.04
Sample119,224.08
Sample120,217.54
Sample121,208.43
Sample122,209.0
Sample123,210.8628519061584
Sample124,203.44
Sample125,225.01
Sample126,209.25
Sample127,209.49
Sample128,206.5
Sample129,208.53
Sample130,198.37
Sample131,218.35
Sample132,236.96
Sample133,210.8628519061584
Sample134,203.02
Sample135,223.33
Sample136,191.91
Sample137,239.28
Sample138,217.45
Sample139,229.27
Sample140,218.49
Sample141,209.49
Sample142,217.48
Sample143,160.18
Sample144,166.7
Sample145,204.11
Sample146,199.18
Sample147,207.04
Sample148,216.03
Sample149,234.9
Sample150,241.56
Sample151,212.14
Sample152,181.07
Sample153,208.09
Sample154,232.3
Sample155,201.86
Sample156,225.27
Sample157,210.97
Sample158,220.34
Sample159,186.24
Sample160,208.61
Sample161,213.79
Sample162,217.26
Sample163,210.8628519061584
Sample164,204.23
Sample165,208.78
Sample166,210.8628519061584
Sample167,208.86
Sample168,186.3
Sample169,212.92
Sample170,226.27
Sample171,213.87
Sample172,263.72
Sample173,182.22
Sample174,263.52
Sample175,234.45
Sample176,229.56
Sample177,188.11
Sample178,223.94
Sample179,215.9
Sample180,227.87
Sample181,214.32
Sample182,212.57
Sample183,221.36
Sample184,181.15
Sample185,207.37
Sample186,203.31
Sample187,203.92
Sample188,244.82
Sample189,213.88
Sample190,206.72
Sample191,191.21
Sample192,182.07
Sample193,190.88
Sample194,226.99
Sample195,219.82
Sample196,204.71
Sample197,189.24
Sample198,200.38
Sample199,216.86
Sample200,199.48
Sample201,200.87
Sample202,224.66
Sample203,202.79
Sample204,181.95
Sample205,198.97
Sample206,192.08
Sample207,184.57
Sample208,212.42
Sample209,222.79
Sample210,236.57
Sample211,194.51
Sample212,207.67
Sample213,219.83
Sample214,212.16
Sample215,241.63
Sample216,183.45
Sample217,242.2
Sample218,216.55
Sample219,214.78
Sample220,222.76
Sample221,215.56
Sample222,235.68
Sample223,215.75
Sample224,230.78
Sample225,244.49
Sample226,233.02
Sample227,179.14
Sample228,236.53
Sample229,235.69
Sample230,188.28
Sample231,221.81
Sample232,205.41
Sample233,228.03
Sample234,230.56
Sample235,246.04
Sample236,206.75
Sample237,221.86
Sample238,240.85
Sample239,190.66
Sample240,207.92
Sample241,244.27
Sample242,204.26
Sample243,190.38
Sample244,200.18
Sample245,224.76
Sample246,207.93
Sample247,220.93
Sample248,202.25
Sample249,209.96
Sample250,195.07
Sample251,177.45
Sample252,204.47
Sample253,243.64
Sample254,183.8
Sample255,201.8
Sample256,238.74
Sample257,248.07
Sample258,218.17
Sample259,186.01
Sample260,239.43
Sample261,167.4
Sample262,234.01
Sample263,236.32
Sample264,207.68
Sample265,226.35
Sample266,191.83
Sample267,190.62
Sample268,224.23
Sample269,240.54
Sample270,255.05
Sample271,210.8628519061584
Sample272,233.31
Sample273,184.6
Sample274,180.92
Sample275,209.46
Sample276,220.5
Sample277,199.28
Sample278,151.74
Sample279,209.98
Sample280,214.2
Sample281,199.24
Sample282,170.79
Sample283,181.41
Sample284,249.93
Sample285,239.36
Sample286,207.16
Sample287,215.73
Sample288,202.61
Sample289,208.58
Sample290,190.84
Sample291,214.51
Sample292,248.28
Sample293,246.71
Sample294,206.9
Sample295,252.93
Sample296,203.31
Sample297,185.35
Sample298,176.13
Sample299,202.82
Sample300,207.91
Sample301,230.1
Sample302,216.32
Sample303,202.49
Sample304,162.75
Sample305,197.91
Sample306,210.8628519061584
Sample307,237.79
Sample308,205.55
Sample309,246.51
Sample310,218.95
Sample311,244.27
Sample312,204.33
Sample313,191.01
Sample314,167.75
Sample315,199.44
Sample316,236.04
Sample317,235.34
Sample318,239.84
Sample319,180.53
Sample320,175.7
Sample321,235.74
Sample322,231.62
Sample323,180.86
Sample324,227.83
Sample325,190.61
Sample326,232.97
Sample327,180.86
Sample328,233.23
Sample329,209.4
Sample330,211.21
Sample331,199.47
Sample332,186.68
Sample333,220.19
Sample334,213.18
Sample335,226.29
Sample336,211.45
Sample337,206.01
Sample338,193.96
Sample339,230.01
Sample340,198.0
Sample341,227.34
Sample342,195.83
Sample343,204.81
Sample344,178.93
Sample345,216.69
Sample346,211.49
Sample347,230.8
Sample348,226.0
Sample349,181.24
Sample350,228.43
Sample351,183.47
Sample352,205.4
Sample353,201.14
Sample354,235.48
Sample355,214.89
Sample356,191.32
Sample357,195.49
Sample358,248.79
Sample359,214.82
Sample360,193.45
Sample361,182.62
Sample362,221.32
Sample363,229.19
Sample364,192.62
Sample365,197.3
Sample366,200.32
Sample367,224.95
Sample368,235.72
Sample369,219.07
Sample370,227.62
Sample371,189.74
Sample372,226.63
Sample373,201.55
Sample374,194.38
Sample375,222.42
Sample376,211.93
Sample377,217.41
Sample378,209.95
Sample379,173.51
Sample380,205.73
Sample381,201.08
Sample382,221.78
Sample383,223.92
Sample384,186.9
Sample385,226.73
Sample386,236.93
Sample387,180.55
Sample388,209.25
Sample389,209.18
Sample390,217.16
Sample391,241.89
Sample392,209.15
Sample393,202.51
Sample394,215.9
Sample395,183.92
Sample396,178.47
Sample397,201.47
Sample398,225.77
Sample399,189.7
Sample400,245.18
Sample401,213.64
Sample402,210.55
Sample403,210.8628519061584
Sample404,206.91
Sample405,210.8628519061584
Sample406,228.68
Sample407,216.29
Sample408,224.87
Sample409,210.8628519061584
Sample410,189.18
Sample411,179.35
Sample412,177.24
Sample413,235.57
Sample414,180.85
Sample415,208.87
Sample416,221.67
Sample417,225.41
Sample418,186.0
Sample419,199.02
Sample420,221.97
Sample421,197.34
Sample422,193.09
Sample423,210.8628519061584
Sample424,214.95
Sample425,204.61
Sample426,220.14
Sample427,226.1
Sample428,190.22
Sample429,186.04
Sample430,230.74
Sample431,188.86
Sample432,178.92
Sample433,231.0
Sample434,214.29
Sample435,188.49
Sample436,220.42
Sample437,219.52
Sample438,212.43
Sample439,220.71
Sample440,177.62
Sample441,200.9
Sample442,198.19
Sample443,242.12
Sample444,224.99
Sample445,217.18
Sample446,181.28
Sample447,193.67
Sample448,201.39
Sample449,192.05
Sample450,232.07
Sample451,230.96
Sample452,210.43
Sample453,208.91
Sample454,223.01
Sample455,215.47
Sample456,238.59
Sample457,210.8628519061584
Sample458,190.07
Sample459,198.98
Sample460,212.7
Sample461,191.65
Sample462,204.42
Sample463,211.63
Sample464,200.59
Sample465,229.7
Sample466,212.93
Sample467,243.77
Sample468,214.6
Sample469,215.38
Sample470,185.29
Sample471,211.61
Sample472,228.21
Sample473,241.74
Sample474,210.8628519061584
Sample475,205.19
Sample476,210.8628519061584
Sample477,224.56
Sample478,236.33
Sample479,190.11
Sample480,191.23
Sample481,196.04
Sample482,196.62
Sample483,228.26
Sample484,212.09
Sample485,171.67
Sample486,236.75
Sample487,244.18
Sample488,224.25
Sample489,204.52
Sample490,203.15
Sample491,183.22
Sample492,210.48
Sample493,217.94
Sample494,243.54
Sample495,223.78
Sample496,189.46
Sample497,179.42
Sample498,210.8628519061584
Sample499,205.43
Sample500,192.06
Sample501,209.82
Sample502,203.19
Sample503,213.1
Sample504,226.7
Sample505,191.36
Sample506,205.4
Sample507,253.27
Sample508,210.8628519061584
Sample509,193.22
Sample510,197.35
Sample511,180.71
Sample512,195.51
Sample513,205.94
Sample514,224.87
Sample515,171.93
Sample516,223.34
Sample517,224.85
Sample518,211.61
Sample519,208.32
Sample520,239.15
Sample521,191.2
Sample522,237.05
Sample523,220.06
Sample524,220.96
Sample525,207.31
Sample526,204.82
Sample527,196.43
Sample528,222.49
Sample529,199.79
Sample530,205.11
Sample531,197.03
Sample532,206.18
Sample533,177.83
Sample534,241.23
Sample535,219.11
Sample536,166.93
Sample537,178.48
Sample538,206.01
Sample539,202.74
Sample540,211.24
Sample541,238.39
Sample542,202.34
Sample543,206.08
Sample544,203.54
Sample545,188.32
Sample546,196.98
Sample547,245.76
Sample548,206.42
Sample549,239.7
Sample550,191.92
Sample551,218.8
Sample552,226.74
Sample553,240.84
Sample554,224.78
Sample555,207.73
Sample556,201.55
Sample557,244.81
Sample558,202.01
Sample559,218.28
Sample560,220.54
Sample561,204.56
Sample562,200.35
Sample563,229.43
Sample564,236.16
Sample565,222.58
Sample566,217.98
Sample567,211.55
Sample568,193.34
Sample569,204.53
Sample570,229.25
Sample571,188.89
Sample572,200.25
Sample573,148.52
Sample574,218.94
Sample575,210.8628519061584
Sample576,191.49
Sample577,176.79
Sample578,189.87
Sample579,223.89
Sample580,221.67
Sample581,209.42
Sample582,221.26
Sample583,205.26
Sample584,237.27
Sample585,204.93
Sample586,222.22
Sample587,212.45
Sample588,186.63
Sample589,210.8628519061584
Sample590,204.5
Sample591,249.69
Sample592,228.74
Sample593,210.8628519061584
Sample594,218.02
Sample595,196.66
Sample596,233.55
Sample597,205.24
Sample598,233.8
Sample599,245.88
Sample600,163.47
Sample601,170.6
Sample602,210.79
Sample603,192.88
Sample604,224.34
Sample605,254.65
Sample606,188.54
Sample607,194.45
Sample608,179.12
Sample609,223.97
Sample610,232.06
Sample611,203.53
Sample612,211.04
Sample613,220.16
Sample614,205.37
Sample615,177.19
Sample616,218.37
Sample617,216.64
Sample618,202.86
Sample619,212.41
Sample620,195.17
Sample621,211.37
Sample622,195.13
Sample623,189.91
Sample624,210.14
Sample625,219.97
Sample626,202.35
Sample627,224.76
Sample628,202.4
Sample629,198.78
Sample630,192.33
Sample631,200.11
Sample632,208.25
Sample633,225.91
Sample634,205.26
Sample635,195.26
Sample636,229.18
Sample637,199.22
Sample638,179.24
Sample639,220.56
Sample640,207.46
Sample641,224.22
Sample642,240.37
Sample643,213.32
Sample644,230.68
Sample645,218.53
Sample646,217.92
Sample647,245.35
Sample648,215.49
Sample649,228.71
Sample650,198.18
Sample651,206.32
Sample652,207.54
Sample653,191.19
Sample654,186.43
Sample655,210.8628519061584
Sample656,178.08
Sample657,202.32
Sample658,197.18
Sample659,199.32
Sample660,179.53
Sample661,210.8628519061584
Sample662,160.8
Sample663,210.2
Sample664,222.87
Sample665,156.03
Sample666,213.92
Sample667,210.8628519061584
Sample668,215.02
Sample669,204.66
Sample670,181.73
Sample671,243.84
Sample672,197.6
Sample673,237.6
Sample674,207.36
Sample675,183.02
Sample676,187.27
Sample677,196.23
Sample678,211.61
Sample679,199.92
Sample680,228.74
Sample681,226.39
Sample682,226.19
Sample683,171.2
Sample684,229.11
Sample685,155.32
Sample686,195.72
Sample687,201.28
Sample688,190.4
Sample689,224.42
Sample690,217.36
Sample691,198.61
Sample692,179.71
Sample693,199.12
Sample694,211.9
Sample695,182.48
Sample696,205.0
Sample697,212.87
Sample698,182.16
Sample699,192.53
Sample700,198.73
Sample701,180.02
Sample702,207.33
Sample703,205.51
Sample704,218.91
Sample705,226.14
Sample706,215.13
Sample707,221.04
Sample708,190.01
Sample709,210.26
Sample710,179.63
Sample711,166.26
Sample712,198.58
Sample713,230.4
Sample714,192.32
Sample715,194.3
Sample716,224.22
Sample717,203.24
Sample718,224.77
Sample719,212.93
Sample720,208.66
Sample721,213.02
Sample722,186.3
Sample723,229.47
Sample724,229.85
Sample725,182.04
Sample726,181.0
Sample727,224.08
Sample728,199.84
Sample729,210.92
Sample730,215.76
Sample731,223.63
Sample732,212.79
Sample733,203.16
Sample734,231.61
Sample735,233.94
Sample736,217.92
Sample737,225.83
Sample738,214.04
Sample739,225.73
Sample740,176.59
Sample741,180.49
Sample742,226.76
Sample743,181.41
Sample744,212.97
Sample745,198.44
Sample746,207.99
Sample747,214.35
Sample748,200.24
Sample749,181.75
Sample750,177.61
Sample751,229.23
Sample752,201.43
Sample753,233.32
Sample754,235.88
Sample755,196.67
Sample756,206.81
Sample757,205.06
Sample758,257.28
Sample759,188.8
Sample760,210.81
Sample761,200.95
Sample762,252.95
Sample763,210.46
Sample764,205.76
Sample765,206.57
Sample766,210.23
Sample767,227.19
Sample768,208.12
Sample769,227.27
Sample770,210.8628519061584
Sample771,232.86
Sample772,245.76
Sample773,229.68
Sample774,247.17
Sample775,188.68
Sample776,201.65
Sample777,228.72
Sample778,206.38
Sample779,218.1
Sample780,223.51
Sample781,262.6
Sample782,189.09
Sample783,244.54
Sample784,210.8628519061584
Sample785,215.65
Sample786,230.98
Sample787,170.31
Sample788,194.53
Sample789,265.6
Sample790,266.05
Sample791,210.11
Sample792,238.36
Sample793,205.53
Sample794,225.97
Sample795,210.8628519061584
Sample796,213.94
Sample797,183.14
Sample798,205.04
Sample799,198.45
Sample800,207.84
Sample801,208.25
Sample802,196.43
Sample803,205.65
Sample804,217.18
Sample805,232.38
Sample806,181.81
Sample807,236.11
Sample808,224.82
Sample809,213.49
Sample810,222.68
Sample811,197.97
Sample812,204.02
Sample813,211.57
Sample814,237.04
Sample815,172.19
Sample816,189.22
Sample817,169.44
Sample818,208.29
Sample819,220.34
Sample820,216.2
Sample821,186.72
Sample822,227.98
Sample823,238.47
Sample824,234.38
Sample825,198.03
Sample826,214.0
Sample827,179.35
Sample828,243.07
Sample829,232.07
Sample830,250.22
Sample831,222.18
Sample832,207.68
Sample833,210.4
Sample834,247.33
Sample835,209.97
Sample836,202.86
Sample837,210.8628519061584
Sample838,225.8
Sample839,222.18
Sample840,207.06
Sample841,197.54
Sample842,220.88
Sample843,239.81
Sample844,211.04
Sample845,194.91
Sample846,213.59
Sample847,246.08
Sample848,228.95
Sample849,283.25
Sample850,178.06
Sample851,232.52
Sample852,212.49
Sample853,219.77
Sample854,245.55
Sample855,206.04
Sample856,204.78
Sample857,232.51
Sample858,202.43
Sample859,199.94
Sample860,162.89
Sample861,145.98
Sample862,221.38
Sample863,175.83
Sample864,209.49
Sample865,174.69
Sample866,215.88
Sample867,212.4
Sample868,211.52
Sample869,214.55
Sample870,221.72
Sample871,229.78
Sample872,199.78
Sample873,198.94
Sample874,200.27
Sample875,220.96
Sample876,238.66
Sample877,220.32
Sample878,211.56
Sample879,239.31
Sample880,177.24
Sample881,210.08
Sample882,213.75
Sample883,220.41
Sample884,220.32
Sample885,195.42
Sample886,216.28
Sample887,207.03
Sample888,214.79
Sample889,222.82
Sample890,195.88
Sample891,221.51
Sample892,232.57
Sample893,242.42
Sample894,215.58
Sample895,228.8
Sample896,232.79
Sample897,219.03
Sample898,237.24
Sample899,218.99
Sample900,233.59
Sample901,221.2
Sample902,260.58
Sample903,191.0
Sample904,195.49
Sample905,197.24
Sample906,233.92
Sample907,201.69
Sample908,191.23
Sample909,238.18
Sample910,211.37
Sample911,224.27
Sample912,206.81
Sample913,217.0
Sample914,175.51
Sample915,208.16
Sample916,203.05
Sample917,178.5
Sample918,218.19
Sample919,273.61
Sample920,220.19
Sample921,206.4
Sample922,227.5
Sample923,213.71
Sample924,205.61
Sample925,238.7
Sample926,192.58
Sample927,210.8628519061584
Sample928,236.22
Sample929,174.7
Sample930,175.48
Sample931,184.61
Sample932,185.97
Sample933,187.36
Sample934,215.55
Sample935,224.68
Sample936,206.2
Sample937,211.18
Sample938,198.74
Sample939,225.24
Sample940,195.6
Sample941,213.35
Sample942,228.52
Sample943,199.57
Sample944,204.25
Sample945,209.67
Sample946,197.58
Sample947,201.34
Sample948,218.79
Sample949,208.35
Sample950,202.06
Sample951,209.09
Sample952,217.91
Sample953,212.4
Sample954,197.81
Sample955,198.01
Sample956,215.75
Sample957,200.82
Sample958,208.52
Sample959,213.23
Sample960,194.02
Sample961,185.59
Sample962,237.46
Sample963,215.24
Sample964,185.4
Sample965,198.74
Sample966,213.91
Sample967,198.75
Sample968,226.91
Sample969,249.46
Sample970,208.4
Sample971,198.24
Sample972,193.88
Sample973,182.96
Sample974,188.96
Sample975,181.79
Sample976,227.77
Sample977,210.38
Sample978,214.73
Sample979,220.12
Sample980,234.35
Sample981,195.59
Sample982,207.93
Sample983,201.55
Sample984,232.73
Sample985,197.2
Sample986,259.64
Sample987,201.1
Sample988,220.2
Sample989,181.2
Sample990,195.97
Sample991,201.45
Sample992,185.76
Sample993,218.14
Sample994,204.3
Sample995,223.12
Sample996,219.28
Sample997,180.28
Sample998,202.54
Sample999,222.43
Sample1000,222.74
